10
3
Benjamin Armstrong 10 11 82 89 95 9
Derrick Martin 8 11 70 80 90 11
Matthew Sheldon 10 11 92 93 94 11
2
William Armstrong 8 9 80 90 100 7
AppleBottom Jeans 6 9 70 85 100 8
5
William Armstrong 8 11 80 90 100 7
AppleBottom Jeans 6 11 70 85 100 8
Benjamin Armstrong 10 11 82 89 95 9
Derrick Martin 8 11 70 80 90 11
Matthew Sheldon 10 11 92 93 94 11
5
A A 11 11 90 91 92 1
B B 11 11 90 91 92 2
C C 11 11 90 91 92 2
D D 11 11 90 91 92 2
E E 11 11 90 91 92 3
5
A A 11 11 90 91 92 2
B B 11 11 90 98 92 2
C C 11 11 90 91 94 2
D D 11 11 90 91 95 2
E E 11 11 90 91 92 2
5
A A 11 11 90 85 80 2
B B 11 11 90 85 90 2
C C 11 11 90 85 85 2
D D 11 11 90 85 80 2
E E 11 11 90 85 82 2
5
F F 11 11 30 60 90 2
B B 11 11 90 85 90 2
C C 11 11 90 85 85 2
D D 11 11 90 85 80 2
E E 11 11 90 85 82 2
15
A A 10 10 30 90 60 9
B B 9 10 10 50 100 9
C C 8 10 10 50 100 8
D D 10 10 30 40 100 15
E E 8 9 100 110 120 100
F F 10 10 30 60 90 10
G G 10 10 30 60 90 10
H H 10 10 30 60 90 100
I I 9 10 30 60 100 100
J J 10 11 40 60 140 140
K K 10 10 100 100 100 100
L L 10 10 0 100 200 212
M M 10 10 100 100 100 100
N M 11 11 212 212 10 10
N N 11 12 10 11 12 13
1
Free Willy 100 100 100 100 100 100
2
A B 100 100 100 100 100 100
B A 100 100 100 100 100 100
